_id,Pipeline Status,Application Number,Date Received,Description,Address,Ward,Proposed Residential Gross Floor Area,Proposed Non-Residential Gross Floor Area,Proposed Gross Floor Area,Proposed Residential Units,Application Information Centre Link
515,Built,17 214190 NNY 24 SA,2017-08-10,Site Plan application for Block 12 of Concord Park Place. The proposal is for two residential towers of 33 and 36 storeys connected by a three / four storey podium containing 38 townhouse units. A total of 692 residential units are proposed.,1001-1019 SHEPPARD AVE E,17,58000,0,58000,692,http://app.toronto.ca/AIC/index.do?folderRsn=qGQYy0LHkT1ewkd6oz7GAw%3D%3D
516,Built,13 239577 STE 19 OZ,2013-09-20,Proposal to demolish the existing two storey retail building and replace both the existing building and the commercial surface parking lot located on the west-half of the site with a new eight storey mixed use building  with 77 residentail units and grad,547 COLLEGE ST,11,4968,553,5521,61,
517,Active,16 269378 WET 06 OZ,2016-12-21,"Official Plan Amendment application to permit a  mixed-use development consisting of two residential apartment buildings and a mid-rise building, connected by a 4-storey podium.",23 BUCKINGHAM ST,3,47896,6516,54412,749,http://app.toronto.ca/AIC/index.do?folderRsn=QXhFKjbODezyPh9Rz59W6g%3D%3D
518,Built,14 267151 STE 22 OZ,2014-12-23,Proposal for official plan amendment and rezoning related to a proposed 7 storey mixed use building with a commercial ground floor and residential above (a total of 146 units) with 3 levels of underground parking,701 SOUDAN AVE,15,11278,1941,13219,146,http://app.toronto.ca/AIC/index.do?folderRsn=K13V3VMfF8nb%2Fq0h6uqQuQ%3D%3D
519,Built,16 196378 STE 20 OZ,2016-07-25,"Proposal for Rezoning related to a 13 storey mixed use building with retail and a food hall at grade, a YMCA on the second and third storeys, and residential above.  The project is to include 284 market-rate residential units and 15 affordable units.",497 RICHMOND ST W,10,23075,8624.8,31699.8,288,http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=3997781&isCofASearch=false
520,Under Review,21 219614 NNY 15 OZ,2021-09-29,"Zoning By-law Amendment application for a 32-storey mixed-use building, comprised of 249 dwelling units, 16,989.0 square metres of residential gross floor area, and 4672.0 square metres of non-residential gross floor area",586 EGLINTON AVE E,15,16989,4672,21661,249,http://app.toronto.ca/AIC/index.do?folderRsn=iATbPGe4vrH1cD8pLz%2FhdQ%3D%3D
521,Active,19 232191 ESC 23 SA,2019-10-04,"Proposal to redevelop the existing place of worship with a new 2-storey building with 2460.35 square metres in gross floor area, and 95 parking spaces.",260 INGLETON BLVD,23,0,2460.35,2460.35,0,http://app.toronto.ca/AIC/index.do?folderRsn=0TjDGObWI8Zc6O9Lmw1qKg%3D%3D
522,Active,20 145943 STE 11 SA,2020-05-15,Site Plan Approval to facilitate the restoration of the existing 2½ storey non-residential heritage building and construct a new 4-storey rear addition with a total non-residential gross floor area of 1437.39 square metres and a maximum height of 16.5 m,1067 YONGE ST,11,0,1118.32,1118.32,0,http://app.toronto.ca/AIC/index.do?folderRsn=LGiGGpP6uTPP69uutuzTug%3D%3D
523,Built,12 296424 WET 03 SA,2012-12-20,"To construct a 16-storey condominium apartment building containing a total of 259 units, at the northwest portion of the site.",41-53 WARRENDER AVE,2,21568,0,21568,259,http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=3270336&isCofASearch=false
524,Active,16 252547 NNY 10 OZ,2016-11-17,"Proposal to permit 29-storey and 26 storey residential buildings joined by a 1, 2, 4 and 6 storey podium at the northeast corner of the site (Buildings B and C), a 16-storey residential building with a 1 and 4 storey podium at the southwest corner of the",6040 BATHURST ST,6,62870,690,63560,877,http://app.toronto.ca/AIC/index.do?folderRsn=KPpYKE9T7CM9agO1%2BEX61Q%3D%3D
525,Active,11 324675 NNY 16 OZ,2011-12-12,The application proposes to amend the former City of North York Zoning By-law No. 7625 to permit a 17-storey (57 metre) condominium apartment building at 228 Wilson Avenue.  The building will contain a total of 108 dwelling units which includes four 2-st,228 WILSON AVE,8,11560,0,11560,131,
526,Under Review,22 238620 NNY 18 OZ,2022-12-12,"Zoning By-law Amendment for 7 blocks (A-F) of 3 connected buildings at 4 storeys each. There will be 122 units in the buildings will range from 1-4 bedrooms. The development has an FSI of 1.92 and a gross floor area of 11,645.69m2.",237 FINCH AVE W,18,11654.69,0,11654.69,122,http://app.toronto.ca/AIC/index.do?folderRsn=Ix%2Bardc%2BDsJi36wUDoEa0A%3D%3D
527,Built,15 164825 STE 20 OZ,2015-05-28,Proposal to redevelop the site with a 59-storey (182 m excluding machanicals) mixed-use development including an eight-storey podium containing retail and office uses with residential units in the tower portion. A total of 498 units are proposed with 131,19 DUNCAN ST,10,27389,15683,43072,422,http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=3757712&isCofASearch=false
528,Built,11 325998 ESC 40 OZ,2011-12-14,"Proposed 18 storey, 234 unit residential apartment building, with a 6 storey podium and three levels of underground parking.",3220 SHEPPARD AVE E,22,17987,0,17987,234,
529,Built,16 269637 STE 22 OZ,2016-12-21,This revised zoning by-law amendment application proposes a 46-storey residential building (149.95 metres) including a 4-storey base building at 39 and 41 Roehampton Avenue and 50 Eglinton Avenue East. The proposed building includes 444 residential units,41 ROEHAMPTON AVE,12,33027.2,0,33027.2,440,http://app.toronto.ca/AIC/index.do?folderRsn=tgMudgx%2BYEHHyyvwuHFlhg%3D%3D
530,Built,15 223802 STE 20 OZ,2015-09-16,Zoning Amendment application to redevelop the site currently occupied by a three-storey commercial/warehouse building with an 18-storey mixed-use building containing a total of 419 square metres of retail/commercial space on the ground and basement level,452 RICHMOND ST W,10,7044,341,7385,125,http://app.toronto.ca/AIC/index.do?folderRsn=7wElX7q%2FEIgJ6Z8yXBMTwg%3D%3D
531,Active,19 252606 STE 11 OZ,2019-11-22,The proposal is to retain the two existing converted buildings on site and add a rowhouse block with 6 units at the rear of the property utilizing the current surface parking lot.,661 HURON ST,11,506.8,0,506.8,6,http://app.toronto.ca/AIC/index.do?folderRsn=IZSC8dYiTWA5fuEe8s6uig%3D%3D
532,Built,16 246686 NNY 23 SA,2016-11-03,"Proposal for a 2-storey, 11.4 m medical office with a ground floor pharmacy (retail) use and at-grade parking.",139 SHEPPARD AVE E,18,0,652,652,0,http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=4056392&isCofASearch=false
533,Under Review,22 241754 WET 05 OZ,2022-12-22,"The development applications would permit a 33-storey mixed use building with height  of 106.1 metres (112.1 inclusive of the mechanical penthouse), containing 370 dwelling units, 324 square metres of non-residential space, 63 parking spaces and 434 bicy",2636 EGLINTON AVE W,5,22205,324,22529,370,http://app.toronto.ca/AIC/index.do?folderRsn=yOwULkyO02HXCP07u21Q4g%3D%3D
534,Under Review,19 186166 WET 02 OZ,2019-07-10,"Rezoning application to allow the construction of five office and retail buildings ranging from six to nine storeys, with a shared two-level underground parking garage and new a public road.",40 RAKELY CRT,2,0,92653,92653,0,http://app.toronto.ca/AIC/index.do?folderRsn=Ad%2BYBBFvJNAfcThNoWsAGQ%3D%3D
